doc_id,site,site_sigla,series,n_signs_parsed,source_layer
HT1,Haghia Triada,HT,,18,corpus/silver/inscriptions_structured.json
HT2,Haghia Triada,HT,,12,corpus/silver/inscriptions_structured.json
HT3,Haghia Triada,HT,,21,corpus/silver/inscriptions_structured.json
HT4,Haghia Triada,HT,,14,corpus/silver/inscriptions_structured.json
HT5,Haghia Triada,HT,,4,corpus/silver/inscriptions_structured.json
HT6a,Haghia Triada,HT,,27,corpus/silver/inscriptions_structured.json
HT6b,Haghia Triada,HT,,21,corpus/silver/inscriptions_structured.json
HT7a,Haghia Triada,HT,,15,corpus/silver/inscriptions_structured.json
HT7b,Haghia Triada,HT,,6,corpus/silver/inscriptions_structured.json
HT8a,Haghia Triada,HT,,20,corpus/silver/inscriptions_structured.json
HT8b,Haghia Triada,HT,,13,corpus/silver/inscriptions_structured.json
HT9a,Haghia Triada,HT,,23,corpus/silver/inscriptions_structured.json
HT9b,Haghia Triada,HT,,25,corpus/silver/inscriptions_structured.json
HT10a,Haghia Triada,HT,,21,corpus/silver/inscriptions_structured.json
HT10b,Haghia Triada,HT,,15,corpus/silver/inscriptions_structured.json
HT11a,Haghia Triada,HT,,16,corpus/silver/inscriptions_structured.json
HT11b,Haghia Triada,HT,,18,corpus/silver/inscriptions_structured.json
HT12,Haghia Triada,HT,,15,corpus/silver/inscriptions_structured.json
HT13,Haghia Triada,HT,,24,corpus/silver/inscriptions_structured.json
HT14,Haghia Triada,HT,,15,corpus/silver/inscriptions_structured.json
HT15,Haghia Triada,HT,,10,corpus/silver/inscriptions_structured.json
HT16,Haghia Triada,HT,,11,corpus/silver/inscriptions_structured.json
HT17,Haghia Triada,HT,,10,corpus/silver/inscriptions_structured.json
HT18,Haghia Triada,HT,,8,corpus/silver/inscriptions_structured.json
HT19,Haghia Triada,HT,,10,corpus/silver/inscriptions_structured.json
HT20,Haghia Triada,HT,,16,corpus/silver/inscriptions_structured.json
HT21,Haghia Triada,HT,,9,corpus/silver/inscriptions_structured.json
HT22,Haghia Triada,HT,,2,corpus/silver/inscriptions_structured.json
HT23a,Haghia Triada,HT,,21,corpus/silver/inscriptions_structured.json
HT23b,Haghia Triada,HT,,9,corpus/silver/inscriptions_structured.json
HT24a,Haghia Triada,HT,,23,corpus/silver/inscriptions_structured.json
HT24b,Haghia Triada,HT,,3,corpus/silver/inscriptions_structured.json
HT25a,Haghia Triada,HT,,28,corpus/silver/inscriptions_structured.json
HT25b,Haghia Triada,HT,,11,corpus/silver/inscriptions_structured.json
HT26a,Haghia Triada,HT,,13,corpus/silver/inscriptions_structured.json
HT26b,Haghia Triada,HT,,11,corpus/silver/inscriptions_structured.json
HT27a,Haghia Triada,HT,,25,corpus/silver/inscriptions_structured.json
HT27b,Haghia Triada,HT,,19,corpus/silver/inscriptions_structured.json
HT28a,Haghia Triada,HT,,28,corpus/silver/inscriptions_structured.json
HT28b,Haghia Triada,HT,,25,corpus/silver/inscriptions_structured.json
HT29,Haghia Triada,HT,,22,corpus/silver/inscriptions_structured.json
HT30,Haghia Triada,HT,,19,corpus/silver/inscriptions_structured.json
HT31,Haghia Triada,HT,,34,corpus/silver/inscriptions_structured.json
HT32,Haghia Triada,HT,,12,corpus/silver/inscriptions_structured.json
HT33,Haghia Triada,HT,,8,corpus/silver/inscriptions_structured.json
HT34,Haghia Triada,HT,,20,corpus/silver/inscriptions_structured.json
HT35,Haghia Triada,HT,,13,corpus/silver/inscriptions_structured.json
HT36,Haghia Triada,HT,,7,corpus/silver/inscriptions_structured.json
HT37,Haghia Triada,HT,,15,corpus/silver/inscriptions_structured.json
HT38,Haghia Triada,HT,,9,corpus/silver/inscriptions_structured.json
HT39,Haghia Triada,HT,,17,corpus/silver/inscriptions_structured.json
HT40,Haghia Triada,HT,,12,corpus/silver/inscriptions_structured.json
HT41a,Haghia Triada,HT,,9,corpus/silver/inscriptions_structured.json
HT42+59,Haghia Triada,HT,,18,corpus/silver/inscriptions_structured.json
