n_anchors,slots,lineages,abs_recovery,rel_recovery,eq_reduction,residual_ambiguity_log10,heldout_word_recovery,fp_rate,recovered_frac,n_independent
0,1,1,0.0,1.0,0.0,23.9867,0.0,0.0,0.0,0.0
0,1,2,0.0,1.0,0.0,24.6549,0.0,0.0,0.0,0.0
0,1,3,0.0,1.0,0.0,24.1791,0.0,0.0,0.0,0.0
0,1,5,0.0,1.0,0.0,24.3729,0.0,0.0,0.0,0.0
0,2,1,0.0,1.0,0.0,24.5905,0.0,0.0,0.0,0.0
0,2,2,0.0,1.0,0.0,24.3487,0.0,0.0,0.0,0.0
0,2,3,0.0,1.0,0.0,24.5411,0.0,0.0,0.0,0.0
0,2,5,0.0,1.0,0.0,24.1769,0.0,0.0,0.0,0.0
0,4,1,0.0,1.0,0.0,24.555,0.0,0.0,0.0,0.0
0,4,2,0.0,1.0,0.0,24.3556,0.0,0.0,0.0,0.0
0,4,3,0.0,0.9998,0.0,24.32,0.0,0.0,0.0,0.0
0,4,5,0.0,1.0,0.0,23.9591,0.0,0.0,0.0,0.0
0,8,1,0.0,1.0,0.0,24.3267,0.0,0.0,0.0,0.0
0,8,2,0.0,1.0,0.0,24.8066,0.0,0.0,0.0,0.0
0,8,3,0.0,1.0,0.0,24.308,0.0,0.0,0.0,0.0
0,8,5,0.0,1.0,0.0,24.2141,0.0,0.0,0.0,0.0
1,1,1,0.0152,1.0,2.0612,22.5522,0.0,0.0,0.0152,1.0
1,1,2,0.0152,1.0,2.0648,22.9202,0.0,0.0,0.0152,1.0
1,1,3,0.0152,1.0,2.0575,22.3355,0.0,0.0,0.0152,1.0
1,1,5,0.0152,1.0,2.0639,22.8499,0.0001,0.0,0.0152,1.0
1,2,1,0.0462,1.0,3.7324,20.4549,0.0018,0.0,0.0462,1.0
1,2,2,0.0479,1.0,3.7708,20.3434,0.0022,0.0,0.0479,1.0
1,2,3,0.0468,1.0,3.7856,20.6319,0.0047,0.0,0.0468,1.0
1,2,5,0.0481,1.0,3.8282,20.8549,0.0039,0.0,0.0481,1.0
1,4,1,0.1422,1.0,6.758,17.6879,0.0141,0.0,0.1422,1.0
1,4,2,0.1426,1.0,6.6176,17.8213,0.0142,0.0,0.1426,1.0
1,4,3,0.1307,1.0,6.617,17.7368,0.0107,0.0,0.1307,1.0
1,4,5,0.1364,1.0,6.5122,17.6429,0.014,0.0,0.1364,1.0
1,8,1,0.3413,0.9998,10.8217,13.2262,0.0658,0.0,0.3413,1.0
1,8,2,0.3383,1.0,10.7498,13.6619,0.0631,0.0,0.3383,1.0
1,8,3,0.3379,1.0,10.7239,13.5695,0.0628,0.0,0.3379,1.0
1,8,5,0.3375,1.0,10.8566,14.2136,0.0725,0.0,0.3375,1.0
2,1,1,0.0152,1.0,2.0604,22.5965,0.0,0.0,0.0152,1.0
2,1,2,0.0458,1.0,3.6735,20.6525,0.0011,0.0,0.0458,2.0
2,1,3,0.0436,1.0,3.5311,20.372,0.001,0.0,0.0436,2.0
2,1,5,0.0434,0.9998,3.5408,21.1297,0.0007,0.0,0.0434,2.0
2,2,1,0.0475,1.0,3.8,21.3254,0.0028,0.0,0.0475,1.0
2,2,2,0.1394,1.0,6.4194,17.6722,0.0177,0.0,0.1394,2.0
2,2,3,0.1314,1.0,6.2887,17.9079,0.0176,0.0,0.1314,2.0
2,2,5,0.1381,1.0,6.4646,17.9071,0.0137,0.0,0.1381,2.0
2,4,1,0.1432,1.0,6.7621,18.1923,0.0154,0.0,0.1432,1.0
2,4,2,0.3242,1.0,10.2263,14.2865,0.1031,0.0,0.3242,2.0
2,4,3,0.308,1.0,10.1291,13.7534,0.0878,0.0,0.308,2.0
2,4,5,0.3074,1.0,10.1483,14.4187,0.0968,0.0,0.3074,2.0
2,8,1,0.3358,1.0,10.7934,13.6957,0.066,0.0,0.3358,1.0
2,8,2,0.5934,1.0,15.9615,8.8383,0.2797,0.0,0.5934,2.0
2,8,3,0.5977,1.0,15.634,8.497,0.2851,0.0,0.5977,2.0
2,8,5,0.5972,1.0,15.6265,8.6826,0.3031,0.0,0.5972,2.0
3,1,1,0.0152,1.0,2.0646,22.878,0.0,0.0,0.0152,1.0
3,1,2,0.0462,1.0,3.6483,20.7476,0.0011,0.0,0.0462,2.0
3,1,3,0.0888,1.0,5.0801,19.6879,0.0072,0.0,0.0888,3.0
3,1,5,0.0833,1.0,4.9426,19.6596,0.0038,0.0,0.0833,3.0
3,2,1,0.0477,1.0,3.7651,20.5404,0.0042,0.0,0.0477,1.0
3,2,2,0.1314,1.0,6.3403,17.8993,0.0155,0.0,0.1314,2.0
3,2,3,0.2233,1.0,8.4296,16.7575,0.0465,0.0,0.2233,3.0
3,2,5,0.2237,0.9998,8.3381,16.5716,0.0439,0.0,0.2237,3.0
3,4,1,0.1288,1.0,6.5275,18.1134,0.0135,0.0,0.1288,1.0
3,4,2,0.3076,1.0,9.9916,14.0129,0.0918,0.0,0.3076,2.0
3,4,3,0.4398,1.0,12.3975,12.9834,0.2129,0.0,0.4398,3.0
3,4,5,0.4477,0.9998,12.1481,11.9623,0.2139,0.0,0.4477,3.0
3,8,1,0.3472,1.0,10.8784,13.0199,0.0738,0.0,0.3472,1.0
3,8,2,0.5892,1.0,15.5546,8.3484,0.274,0.0,0.5892,2.0
3,8,3,0.7307,1.0,18.6129,6.0799,0.4926,0.0,0.7307,3.0
3,8,5,0.7578,1.0,18.6731,5.7053,0.5431,0.0,0.7578,3.0
4,1,1,0.0152,1.0,2.0647,22.7157,0.0,0.0,0.0152,1.0
4,1,2,0.0468,1.0,3.6394,20.9839,0.001,0.0,0.0468,2.0
4,1,3,0.0909,1.0,4.9862,19.4002,0.0053,0.0,0.0909,3.0
4,1,5,0.1364,1.0,6.1725,18.2069,0.0179,0.0,0.1364,4.0
4,2,1,0.0475,1.0,3.7897,20.4074,0.0028,0.0,0.0475,1.0
4,2,2,0.1286,1.0,6.2604,18.2543,0.0159,0.0,0.1286,2.0
4,2,3,0.2169,1.0,8.3207,16.6135,0.0442,0.0,0.2169,3.0
4,2,5,0.3017,1.0,9.768,14.8054,0.0863,0.0,0.3017,4.0
4,4,1,0.1415,1.0,6.7519,17.7916,0.0154,0.0,0.1415,1.0
4,4,2,0.3381,1.0,10.3164,13.4255,0.1077,0.0,0.3381,2.0
4,4,3,0.4439,1.0,12.1413,12.4577,0.208,0.0,0.4439,3.0
4,4,5,0.5318,1.0,13.7307,10.6933,0.3304,0.0,0.5318,4.0
4,8,1,0.343,1.0,11.0407,13.4208,0.0678,0.0,0.343,1.0
4,8,2,0.5979,1.0,15.6039,9.028,0.2887,0.0,0.5979,2.0
4,8,3,0.7477,1.0,18.2551,5.5973,0.5488,0.0,0.7477,3.0
4,8,5,0.8195,1.0,20.1469,4.1539,0.6687,0.0,0.8195,4.0
5,1,1,0.0152,1.0,2.0537,22.1016,0.0,0.0,0.0152,1.0
5,1,2,0.0447,0.9998,3.5765,20.8681,0.0014,0.0,0.0447,2.0
5,1,3,0.0839,1.0,4.8803,18.9884,0.0048,0.0,0.0839,3.0
5,1,5,0.168,1.0,7.0141,17.489,0.0248,0.0,0.168,5.0
5,2,1,0.0447,1.0,3.7021,20.828,0.0027,0.0,0.0447,1.0
5,2,2,0.1348,1.0,6.4234,18.1989,0.0166,0.0,0.1348,2.0
5,2,3,0.2146,1.0,8.0462,16.4263,0.0433,0.0,0.2146,3.0
5,2,5,0.3614,1.0,10.8681,13.4734,0.1342,0.0,0.3614,5.0
5,4,1,0.1371,1.0,6.5247,17.5625,0.0113,0.0,0.1371,1.0
5,4,2,0.3178,1.0,10.1783,13.9818,0.0945,0.0,0.3178,2.0
5,4,3,0.4532,1.0,12.3607,11.9503,0.2273,0.0,0.4532,3.0
5,4,5,0.617,1.0,15.2602,9.2193,0.4834,0.0,0.617,5.0
5,8,1,0.3352,1.0,10.8163,13.5593,0.0706,0.0,0.3352,1.0
5,8,2,0.6027,0.9996,15.794,8.4164,0.3045,0.0,0.6027,2.0
5,8,3,0.7269,1.0,18.5605,6.2427,0.5049,0.0,0.7269,3.0
5,8,5,0.8629,1.0,21.1024,2.9593,0.7462,0.0,0.8629,5.0
6,1,1,0.0152,1.0,2.056,22.18,0.0,0.0,0.0152,1.0
6,1,2,0.0487,1.0,3.6187,20.8212,0.001,0.0,0.0487,2.0
6,1,3,0.0824,1.0,4.9347,19.2707,0.0065,0.0,0.0824,3.0
6,1,5,0.1623,1.0,6.8153,18.0534,0.0266,0.0,0.1623,5.0
6,2,1,0.0496,1.0,3.8043,20.326,0.0037,0.0,0.0496,1.0
6,2,2,0.1428,1.0,6.4757,18.1207,0.0226,0.0,0.1428,2.0
