sign_id,conv_value,la_attest,n_toponym,n_name,homomorphy_tier,cypriot_stable,n_channels,dependency_tier
*49,,,1,0,0,False,1,one_toponym_deep_pin
*56,,,0,1,0,False,1,weak_lexical_only
*79,,,1,0,0,False,1,one_toponym_deep_pin
A,a,195,2,5,3,True,3,multi_channel_independent
AU,au,8,0,0,2,False,1,structural_only
DA,da,134,2,4,3,True,3,multi_channel_independent
DE,de,35,0,1,2,False,2,structural_only
DI,di,109,3,1,3,False,2,multi_channel_independent
DU,du,77,0,2,2,False,2,structural_only
E,e,31,0,0,2,False,1,structural_only
I,i,166,5,1,3,True,3,multi_channel_independent
JA,ja,165,1,3,2,False,2,multi_channel_independent
JE,je,16,0,0,2,False,1,structural_only
JU,ju,35,0,0,2,False,1,structural_only
KA,ka,132,1,1,2,False,2,multi_channel_independent
KE,ke,16,0,0,2,False,1,structural_only
KI,ki,125,2,3,3,False,2,multi_channel_independent
KO,ko,15,0,0,2,False,1,structural_only
KU,ku,154,3,3,2,False,2,multi_channel_independent
MA,ma,117,0,1,3,False,2,structural_only
ME,me,43,0,0,3,False,1,structural_only
MI,mi,92,0,3,3,False,2,structural_only
MU,mu,15,0,0,3,False,1,structural_only
NA,na,157,2,2,3,True,3,multi_channel_independent
NE,ne,57,0,1,2,False,2,structural_only
NI,ni,123,3,1,3,False,2,multi_channel_independent
NU,nu,59,0,2,2,False,2,structural_only
NWA,nwa,1,0,0,2,False,1,structural_only
O,o,14,0,0,2,False,1,structural_only
PA,pa,101,1,2,3,True,3,multi_channel_independent
PA3,pa3,46,0,0,0,False,0,no_anchor
PI,pi,57,0,1,2,False,2,structural_only
PO,po,8,0,0,3,True,2,multi_channel_independent
PU,pu,23,0,0,2,False,1,structural_only
PU2,pu2,13,0,1,2,False,2,structural_only
QA,qa,45,0,2,2,False,2,structural_only
QE,qe,45,0,0,2,False,1,structural_only
QI,qi,1,0,0,2,False,1,structural_only
RA,ra,116,0,4,2,False,2,structural_only
RA2,ra2,51,1,2,2,False,2,multi_channel_independent
RE,re,124,0,5,2,False,2,structural_only
RI,ri,77,2,1,3,False,2,multi_channel_independent
RO,ro,95,0,2,3,True,3,multi_channel_independent
RU,ru,92,1,5,3,False,2,multi_channel_independent
SA,sa,138,3,4,3,True,3,multi_channel_independent
SE,se,65,1,0,3,True,3,multi_channel_independent
SI,si,145,2,1,3,False,2,multi_channel_independent
SU,su,52,2,1,3,False,2,multi_channel_independent
TA,ta,150,3,3,3,False,2,multi_channel_independent
TA2,ta2,16,0,0,2,False,1,structural_only
TE,te,125,1,0,3,False,2,multi_channel_independent
TI,ti,110,2,0,3,True,3,multi_channel_independent
TO,to,17,2,0,3,True,3,multi_channel_independent
TU,tu,73,2,0,3,False,2,multi_channel_independent
TWE,twe,2,0,0,2,False,1,structural_only
U,u,68,2,0,2,False,2,multi_channel_independent
WA,wa,45,0,2,2,False,2,structural_only
WI,wi,21,0,0,2,False,1,structural_only
ZA,za,40,0,0,2,False,1,structural_only
ZE,ze,1,0,0,2,False,1,structural_only
ZO,zo,2,0,0,2,False,1,structural_only
ZU,zu,32,1,0,0,False,1,one_toponym_deep_pin
