sign,site,n_words,init_obs,init_p,init_sig,final_obs,final_p,final_sig
*301,Arkhalkhori,34,0,1.0,0,0,1.0,0
*301,Haghia Triada,694,1,0.92707,0,3,0.23477,0
*301,Iouktas,34,1,0.8032,0,0,1.0,0
*301,Khania,120,1,0.74525,0,1,0.75325,0
*301,Knossos,61,0,1.0,0,0,1.0,0
*301,Palaikastro,57,0,1.0,0,0,1.0,0
*301,Phaistos,58,0,1.0,0,0,1.0,0
*301,Syme,21,0,1.0,0,0,1.0,0
*301,Tylissos,21,0,1.0,0,0,1.0,0
*301,Zakros,132,0,1.0,0,0,1.0,0
A,Arkhalkhori,34,8,0.001,1,1,0.96803,0
A,Haghia Triada,694,41,0.001,1,1,1.0,0
A,Iouktas,34,6,0.001,1,0,1.0,0
A,Khania,120,20,0.001,1,1,0.999,0
A,Knossos,61,10,0.003,1,1,0.996,0
A,Palaikastro,57,10,0.001,1,0,1.0,0
A,Phaistos,58,7,0.001,1,0,1.0,0
A,Syme,21,6,0.001,1,0,1.0,0
A,Tylissos,21,4,0.13387,0,2,0.74925,0
A,Zakros,132,19,0.001,1,1,0.999,0
DA,Arkhalkhori,34,1,0.91209,0,0,1.0,0
DA,Haghia Triada,694,44,0.001,1,8,1.0,0
DA,Iouktas,34,1,1.0,0,2,0.24775,0
DA,Khania,120,2,0.76324,0,1,0.95804,0
DA,Knossos,61,2,0.58941,0,1,0.88811,0
DA,Palaikastro,57,1,0.93307,0,3,0.30669,0
DA,Phaistos,58,1,0.84815,0,1,0.82617,0
DA,Syme,21,1,0.51049,0,0,1.0,0
DA,Tylissos,21,0,1.0,0,1,0.84815,0
DA,Zakros,132,3,0.52847,0,2,0.7962,0
DE,Arkhalkhori,34,2,0.34066,0,0,1.0,0
DE,Haghia Triada,694,4,0.8971,0,5,0.78921,0
DE,Iouktas,34,0,1.0,0,0,1.0,0
DE,Khania,120,1,0.77922,0,2,0.32268,0
DE,Knossos,61,0,1.0,0,0,1.0,0
DE,Palaikastro,57,0,1.0,0,0,1.0,0
DE,Phaistos,58,0,1.0,0,1,0.21578,0
DE,Syme,21,0,1.0,0,0,1.0,0
DE,Tylissos,21,0,1.0,0,0,1.0,0
DE,Zakros,132,0,1.0,0,3,0.20679,0
DI,Arkhalkhori,34,0,1.0,0,0,1.0,0
DI,Haghia Triada,694,21,0.47852,0,17,0.87113,0
DI,Iouktas,34,0,1.0,0,1,0.76024,0
DI,Khania,120,2,0.42258,0,0,1.0,0
DI,Knossos,61,1,0.8042,0,0,1.0,0
DI,Palaikastro,57,0,1.0,0,2,0.39161,0
DI,Phaistos,58,2,0.74026,0,2,0.75524,0
DI,Syme,21,0,1.0,0,0,1.0,0
DI,Tylissos,21,0,1.0,0,0,1.0,0
DI,Zakros,132,4,0.7013,0,5,0.3996,0
DU,Arkhalkhori,34,0,1.0,0,0,1.0,0
DU,Haghia Triada,694,11,0.96404,0,21,0.05994,0
DU,Iouktas,34,0,1.0,0,0,1.0,0
DU,Khania,120,1,0.95405,0,4,0.15285,0
DU,Knossos,61,2,0.33566,0,0,1.0,0
DU,Palaikastro,57,0,1.0,0,0,1.0,0
DU,Phaistos,58,1,0.52847,0,0,1.0,0
DU,Syme,21,0,1.0,0,0,1.0,0
DU,Tylissos,21,0,1.0,0,1,0.64036,0
DU,Zakros,132,4,0.05894,0,0,1.0,0
I,Arkhalkhori,34,3,0.05894,0,1,0.8022,0
I,Haghia Triada,694,27,0.02398,1,14,0.97103,0
I,Iouktas,34,8,0.01499,1,1,0.98501,0
I,Khania,120,6,0.24675,0,3,0.88412,0
I,Knossos,61,2,0.53746,0,1,0.86014,0
I,Palaikastro,57,6,0.09491,0,1,0.98402,0
I,Phaistos,58,5,0.002,1,0,1.0,0
I,Syme,21,1,0.81019,0,0,1.0,0
I,Tylissos,21,0,1.0,0,0,1.0,0
I,Zakros,132,9,0.05894,0,0,1.0,0
JA,Arkhalkhori,34,3,0.05594,0,0,1.0,0
JA,Haghia Triada,694,5,1.0,0,24,0.001,1
JA,Iouktas,34,7,0.01399,1,5,0.2018,0
JA,Khania,120,1,0.94006,0,5,0.04595,1
JA,Knossos,61,11,0.00799,1,4,0.93007,0
JA,Palaikastro,57,8,0.01898,1,5,0.37862,0
JA,Phaistos,58,6,0.13087,0,3,0.81319,0
JA,Syme,21,5,0.37263,0,8,0.00999,1
JA,Tylissos,21,0,1.0,0,0,1.0,0
JA,Zakros,132,5,0.21778,0,2,0.93407,0
JU,Arkhalkhori,34,0,1.0,0,0,1.0,0
JU,Haghia Triada,694,1,1.0,0,8,0.0959,0
JU,Iouktas,34,0,1.0,0,0,1.0,0
JU,Khania,120,0,1.0,0,0,1.0,0
JU,Knossos,61,1,0.61838,0,0,1.0,0
JU,Palaikastro,57,0,1.0,0,0,1.0,0
JU,Phaistos,58,0,1.0,0,1,0.26474,0
JU,Syme,21,0,1.0,0,0,1.0,0
JU,Tylissos,21,0,1.0,0,4,0.04196,1
JU,Zakros,132,0,1.0,0,4,0.16284,0
KA,Arkhalkhori,34,1,0.47852,0,0,1.0,0
KA,Haghia Triada,694,31,0.15584,0,24,0.76124,0
KA,Iouktas,34,0,1.0,0,1,0.52448,0
KA,Khania,120,2,0.54346,0,3,0.18482,0
KA,Knossos,61,3,0.32368,0,1,0.94106,0
KA,Palaikastro,57,1,0.91209,0,1,0.8951,0
KA,Phaistos,58,1,0.33467,0,0,1.0,0
KA,Syme,21,0,1.0,0,0,1.0,0
KA,Tylissos,21,0,1.0,0,1,0.34066,0
KA,Zakros,132,4,0.36364,0,1,0.98402,0
KI,Arkhalkhori,34,1,0.84116,0,0,1.0,0
KI,Haghia Triada,694,39,0.001,1,11,1.0,0
KI,Iouktas,34,0,1.0,0,0,1.0,0
KI,Khania,120,1,0.92907,0,2,0.71329,0
KI,Knossos,61,0,1.0,0,2,0.22278,0
KI,Palaikastro,57,1,0.66134,0,0,1.0,0
KI,Phaistos,58,0,1.0,0,2,0.32567,0
KI,Syme,21,0,1.0,0,0,1.0,0
