sign,occ,init_sig_sites,final_sig_sites
*301,31,0,0
A,177,9,0
DA,129,1,0
DE,33,0,0
DI,93,0,0
DU,74,0,0
I,153,3,0
JA,158,3,3
JU,30,0,1
KA,115,0,0
KI,110,1,0
KU,137,1,0
MA,108,1,0
ME,40,0,2
MI,90,0,0
NA,145,0,2
NE,50,0,2
NI,59,0,1
NU,57,0,1
PA,86,1,0
PA₃,40,0,0
PI,54,1,0
QA,43,2,1
QE,38,1,0
RA,107,0,1
RA₂,49,0,1
RE,109,0,2
RI,76,0,0
RO,92,0,1
RU,85,0,1
SA,134,1,0
SE,60,0,1
SI,122,1,0
SU,47,0,0
TA,136,0,0
TE,98,0,1
TI,99,0,2
TU,62,0,0
U,64,3,0
VS,34,0,1
WA,42,1,0
ZA,36,0,2
