sign,fold,n_words,init_p,init_sig,final_p,final_sig
*22,0,2713,0.996,0,1.0,0
*22,1,2713,0.999,0,1.0,0
*22,2,2712,0.98801,0,1.0,0
*22,3,2712,0.97303,0,1.0,0
*22,4,2712,1.0,0,1.0,0
*56,0,2713,0.01099,1,0.99001,0
*56,1,2713,0.001,1,1.0,0
*56,2,2712,0.001,1,1.0,0
*56,3,2712,0.001,1,0.998,0
*56,4,2712,0.002,1,1.0,0
*82,0,2713,1.0,0,0.15784,0
*82,1,2713,1.0,0,0.26873,0
*82,2,2712,1.0,0,0.12887,0
*82,3,2712,0.87213,0,0.17782,0
*82,4,2712,1.0,0,0.07093,0
A,0,2713,0.001,1,1.0,0
A,1,2713,0.001,1,1.0,0
A,2,2712,0.001,1,1.0,0
A,3,2712,0.001,1,1.0,0
A,4,2712,0.001,1,1.0,0
A2,0,2713,0.96503,0,0.001,1
A2,1,2713,0.9001,0,0.004,1
A2,2,2712,0.93806,0,0.001,1
A2,3,2712,0.85614,0,0.004,1
A2,4,2712,0.97702,0,0.01499,1
A3,0,2713,0.001,1,1.0,0
A3,1,2713,0.001,1,1.0,0
A3,2,2712,0.001,1,1.0,0
A3,3,2712,0.001,1,1.0,0
A3,4,2712,0.001,1,1.0,0
AU,0,2713,0.001,1,1.0,0
AU,1,2713,0.001,1,1.0,0
AU,2,2712,0.001,1,1.0,0
AU,3,2712,0.001,1,1.0,0
AU,4,2712,0.001,1,1.0,0
DA,0,2713,0.001,1,1.0,0
DA,1,2713,0.004,1,1.0,0
DA,2,2712,0.001,1,1.0,0
DA,3,2712,0.001,1,1.0,0
DA,4,2712,0.001,1,1.0,0
DE,0,2713,1.0,0,0.001,1
DE,1,2713,1.0,0,0.001,1
DE,2,2712,1.0,0,0.001,1
DE,3,2712,1.0,0,0.001,1
DE,4,2712,1.0,0,0.001,1
DI,0,2713,0.001,1,1.0,0
DI,1,2713,0.001,1,1.0,0
DI,2,2712,0.001,1,1.0,0
DI,3,2712,0.002,1,1.0,0
DI,4,2712,0.002,1,1.0,0
DO,0,2713,0.001,1,1.0,0
DO,1,2713,0.001,1,1.0,0
DO,2,2712,0.001,1,1.0,0
DO,3,2712,0.001,1,1.0,0
DO,4,2712,0.001,1,1.0,0
DU,0,2713,0.30669,0,0.79321,0
DU,1,2713,0.12587,0,1.0,0
DU,2,2712,0.01698,1,1.0,0
DU,3,2712,0.48152,0,0.999,0
DU,4,2712,0.08591,0,1.0,0
E,0,2713,0.001,1,1.0,0
E,1,2713,0.001,1,1.0,0
E,2,2712,0.001,1,1.0,0
E,3,2712,0.001,1,1.0,0
E,4,2712,0.001,1,1.0,0
I,0,2713,0.01099,1,0.13586,0
I,1,2713,0.04296,1,0.9011,0
I,2,2712,0.002,1,0.73327,0
I,3,2712,0.09491,0,0.16983,0
I,4,2712,0.17383,0,0.85914,0
JA,0,2713,1.0,0,0.001,1
JA,1,2713,1.0,0,0.001,1
JA,2,2712,1.0,0,0.001,1
JA,3,2712,1.0,0,0.001,1
JA,4,2712,1.0,0,0.001,1
JE,0,2713,1.0,0,0.998,0
JE,1,2713,1.0,0,0.91808,0
JE,2,2712,1.0,0,0.94505,0
JE,3,2712,0.997,0,0.95105,0
JE,4,2712,1.0,0,0.94206,0
JO,0,2713,1.0,0,0.001,1
JO,1,2713,1.0,0,0.001,1
JO,2,2712,1.0,0,0.001,1
JO,3,2712,1.0,0,0.001,1
JO,4,2712,1.0,0,0.001,1
KA,0,2713,0.001,1,1.0,0
KA,1,2713,0.001,1,1.0,0
KA,2,2712,0.004,1,0.998,0
KA,3,2712,0.001,1,1.0,0
KA,4,2712,0.001,1,1.0,0
KE,0,2713,0.39461,0,1.0,0
KE,1,2713,1.0,0,1.0,0
KE,2,2712,0.5954,0,1.0,0
KE,3,2712,0.98601,0,1.0,0
KE,4,2712,0.97003,0,1.0,0
KI,0,2713,0.59041,0,1.0,0
KI,1,2713,0.06893,0,1.0,0
KI,2,2712,0.28472,0,1.0,0
KI,3,2712,0.61838,0,1.0,0
KI,4,2712,0.04895,1,1.0,0
KO,0,2713,0.001,1,1.0,0
KO,1,2713,0.001,1,1.0,0
KO,2,2712,0.001,1,1.0,0
KO,3,2712,0.001,1,1.0,0
KO,4,2712,0.001,1,1.0,0
KU,0,2713,0.001,1,1.0,0
KU,1,2713,0.001,1,1.0,0
KU,2,2712,0.001,1,1.0,0
KU,3,2712,0.001,1,1.0,0
KU,4,2712,0.001,1,1.0,0
MA,0,2713,0.19081,0,0.995,0
MA,1,2713,0.47852,0,1.0,0
MA,2,2712,0.01798,1,1.0,0
MA,3,2712,0.1978,0,1.0,0
MA,4,2712,0.003,1,1.0,0
ME,0,2713,0.001,1,1.0,0
ME,1,2713,0.001,1,1.0,0
ME,2,2712,0.001,1,1.0,0
ME,3,2712,0.00999,1,1.0,0
ME,4,2712,0.001,1,1.0,0
MI,0,2713,0.98801,0,1.0,0
MI,1,2713,0.98302,0,1.0,0
MI,2,2712,0.81319,0,1.0,0
MI,3,2712,0.98501,0,0.999,0
MI,4,2712,0.27073,0,1.0,0
MO,0,2713,1.0,0,0.001,1
MO,1,2713,1.0,0,0.001,1
MO,2,2712,1.0,0,0.001,1
MO,3,2712,1.0,0,0.001,1
MO,4,2712,1.0,0,0.001,1
MU,0,2713,0.1049,0,1.0,0
MU,1,2713,0.24575,0,0.91109,0
MU,2,2712,0.1978,0,0.98501,0
MU,3,2712,0.83816,0,0.97702,0
MU,4,2712,0.47952,0,1.0,0
NA,0,2713,1.0,0,0.001,1
NA,1,2713,1.0,0,0.08092,0
NA,2,2712,1.0,0,0.001,1
NA,3,2712,1.0,0,0.001,1
NA,4,2712,1.0,0,0.001,1
NE,0,2713,0.999,0,0.22178,0
NE,1,2713,0.78721,0,0.66334,0
NE,2,2712,0.39261,0,0.77223,0
NE,3,2712,0.995,0,0.27772,0
NE,4,2712,1.0,0,0.11788,0
