id,site,n_words,first_word_A,last_word_A,n_A_words
HT1,Haghia Triada,6,0,1,1
HT2,Haghia Triada,7,1,0,1
HT3,Haghia Triada,11,0,0,0
HT4,Haghia Triada,4,0,0,0
HT5,Haghia Triada,2,0,0,0
HT6a,Haghia Triada,12,0,0,0
HT6b,Haghia Triada,7,0,0,0
HT7a,Haghia Triada,7,0,0,0
HT7b,Haghia Triada,2,0,0,0
HT8a,Haghia Triada,8,0,0,0
HT8b,Haghia Triada,5,0,0,0
HT9a,Haghia Triada,11,0,0,1
HT9b,Haghia Triada,11,0,0,1
HT10a,Haghia Triada,9,0,0,0
HT10b,Haghia Triada,6,0,0,0
HT11a,Haghia Triada,7,1,0,2
HT11b,Haghia Triada,10,0,0,0
HT12,Haghia Triada,9,0,0,0
HT13,Haghia Triada,10,0,0,0
HT14,Haghia Triada,11,0,0,1
HT15,Haghia Triada,5,0,0,0
HT16,Haghia Triada,6,0,0,0
HT17,Haghia Triada,5,0,0,0
HT18,Haghia Triada,6,0,0,0
HT19,Haghia Triada,5,0,0,0
HT20,Haghia Triada,8,0,0,0
HT21,Haghia Triada,6,0,0,0
HT22,Haghia Triada,2,0,0,0
HT23a,Haghia Triada,14,0,0,0
HT23b,Haghia Triada,8,0,0,0
HT24a,Haghia Triada,7,0,0,0
HT25a,Haghia Triada,10,0,0,1
HT25b,Haghia Triada,6,0,0,0
HT26a,Haghia Triada,5,0,0,0
HT26b,Haghia Triada,6,0,0,0
HT27a,Haghia Triada,14,0,0,0
HT27b,Haghia Triada,17,0,0,0
HT28a,Haghia Triada,17,1,0,2
HT28b,Haghia Triada,14,1,0,1
HT29,Haghia Triada,7,0,0,1
HT30,Haghia Triada,15,0,0,0
HT31,Haghia Triada,10,0,0,0
HT32,Haghia Triada,10,0,0,0
HT33,Haghia Triada,7,0,0,0
HT34,Haghia Triada,15,0,0,0
HT35,Haghia Triada,9,0,0,0
HT36,Haghia Triada,3,0,0,0
HT37,Haghia Triada,9,0,0,1
HT38,Haghia Triada,6,0,0,0
HT39,Haghia Triada,9,0,0,0
HT40,Haghia Triada,7,0,0,0
HT41a,Haghia Triada,5,0,0,0
HT42+59,Haghia Triada,15,0,0,0
HT43,Haghia Triada,4,0,0,0
HT44a,Haghia Triada,8,0,0,0
HT44b,Haghia Triada,4,0,0,0
HT45b,Haghia Triada,8,0,0,1
HT46a,Haghia Triada,2,0,0,0
HT47a,Haghia Triada,8,0,0,0
HT49a,Haghia Triada,12,0,0,1
HT49b,Haghia Triada,4,0,0,0
HT50a,Haghia Triada,6,0,0,0
HT50b,Haghia Triada,2,0,0,0
HT51a,Haghia Triada,6,0,0,0
HT51b,Haghia Triada,3,0,0,0
HT52a,Haghia Triada,3,0,0,0
HT52b,Haghia Triada,2,0,0,0
HT53a,Haghia Triada,3,0,0,0
HT54a,Haghia Triada,2,0,0,0
HT55a,Haghia Triada,5,0,0,0
HT55b,Haghia Triada,4,0,0,0
HT56a,Haghia Triada,2,0,0,0
HT57a,Haghia Triada,2,0,1,1
HT58,Haghia Triada,7,0,0,0
HT60,Haghia Triada,5,0,0,0
HT61,Haghia Triada,2,0,0,0
HT62+73,Haghia Triada,15,0,0,0
HT63,Haghia Triada,4,0,0,0
HT64,Haghia Triada,4,0,0,0
HT66,Haghia Triada,6,0,0,0
HT67,Haghia Triada,3,0,0,0
HT68,Haghia Triada,2,0,0,0
HT69,Haghia Triada,3,0,0,0
HT70,Haghia Triada,4,0,0,0
HT79+83,Haghia Triada,7,0,0,0
HT81,Haghia Triada,4,1,0,1
HT84,Haghia Triada,3,0,0,0
HT85a,Haghia Triada,10,1,0,1
HT85b,Haghia Triada,12,0,0,0
HT86a,Haghia Triada,10,1,0,2
HT86b,Haghia Triada,5,1,0,1
HT87,Haghia Triada,9,0,1,2
HT88,Haghia Triada,13,1,0,1
HT89,Haghia Triada,9,1,0,1
HT90,Haghia Triada,9,0,0,0
HT91,Haghia Triada,12,0,0,0
HT92,Haghia Triada,3,0,0,1
HT93a,Haghia Triada,20,0,0,1
HT94a,Haghia Triada,14,0,0,0
HT94b,Haghia Triada,10,0,0,0
HT95a,Haghia Triada,8,0,0,0
HT95b,Haghia Triada,7,1,0,1
HT96a,Haghia Triada,10,0,0,2
HT96b,Haghia Triada,5,1,0,1
HT97a,Haghia Triada,13,0,1,1
