N	V
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	11
13	11
14	12
15	13
16	14
17	15
18	16
19	17
20	18
21	18
22	18
23	19
24	20
25	21
26	22
27	23
28	24
29	25
30	26
31	27
32	28
33	29
34	30
35	31
36	32
37	33
38	34
39	35
40	36
41	37
42	37
43	38
44	39
45	40
46	41
47	42
48	43
49	44
50	45
51	46
52	47
53	48
54	49
55	50
56	51
57	52
58	53
59	54
60	55
61	56
62	57
63	58
64	59
65	60
66	60
67	61
68	62
69	62
70	62
71	63
72	64
73	64
74	65
75	66
76	67
77	68
78	69
79	70
80	71
81	72
82	73
83	74
84	75
85	76
86	76
87	77
88	77
89	77
90	77
91	77
92	77
93	77
94	78
95	78
96	78
97	78
98	79
99	79
100	80
101	81
102	82
103	83
104	83
105	84
106	85
107	86
108	86
109	87
110	88
111	89
112	89
113	90
114	91
115	92
116	93
117	94
118	95
119	96
120	96
121	97
122	97
123	98
124	98
125	98
126	99
127	100
128	101
129	102
130	103
131	104
132	104
133	105
134	106
135	107
136	107
137	107
138	108
139	108
140	109
141	110
142	111
143	112
144	112
145	113
146	113
147	114
148	115
149	115
150	116
151	117
152	117
153	117
154	117
155	117
156	118
157	118
158	119
159	120
160	120
161	121
162	121
163	122
164	123
165	124
166	125
167	126
168	126
169	126
170	126
171	127
172	128
173	129
174	129
175	130
176	130
177	130
178	131
179	131
180	131
181	131
182	132
183	133
184	134
185	135
186	135
187	136
188	137
189	137
190	137
191	138
192	138
193	138
194	138
195	138
196	138
197	139
198	140
199	141
200	142
203	145
210	150
217	155
224	158
231	163
238	168
245	171
252	176
259	182
266	187
273	190
280	191
287	192
294	193
301	195
308	197
315	199
322	203
329	205
336	208
343	212
350	218
357	219
364	221
371	225
378	228
385	231
392	232
399	237
406	242
413	248
420	252
427	255
434	259
441	260
448	265
455	267
462	269
469	269
476	273
483	279
490	284
497	286
504	287
511	290
518	293
525	297
532	299
539	300
546	302
553	305
560	309
567	312
574	317
581	319
588	321
595	322
602	326
609	330
616	335
623	337
630	340
637	341
644	345
651	348
658	354
665	358
672	362
679	368
686	369
693	371
700	371
707	372
714	377
721	381
728	383
735	385
742	385
749	389
756	392
763	392
770	395
777	400
784	401
791	404
798	405
805	409
812	410
819	411
826	411
833	412
840	414
847	414
854	416
861	419
868	425
875	425
882	426
889	429
896	432
903	435
910	437
917	443
924	444
931	450
938	453
945	458
952	463
959	463
966	465
973	466
980	470
987	476
994	480
1001	481
1008	484
1015	487
1022	488
1029	489
1036	491
1043	492
1050	492
1057	495
1064	497
1071	498
1078	500
1085	504
1092	505
1099	509
1106	512
1113	515
1120	518
1127	520
1134	521
1141	522
1148	523
1155	524
1162	526
1169	531
1176	532
1183	534
1190	535
1197	537
1204	539
1211	540
1218	542
1225	544
1232	545
1239	547
1246	553
1253	553
1260	553
1267	553
1274	553
1281	553
1288	553
1295	553
1302	553
1309	553
1316	553
1323	553
1330	553
1337	553
1344	553
1351	553
1358	553
1365	553
1372	553
1379	553
1386	553
1393	553
1400	553
1407	553
1414	553
1421	553
1428	553
1435	553
1442	553
1449	553
1456	553
1463	553
1470	553
1477	553
1484	553
1491	553
1498	553
1505	553
1512	553
1519	553
1526	553
1533	553
1540	553
1547	553
1554	553
1561	553
1568	553
1575	553
1582	553
1589	553
1596	553
1603	553
1610	553
1617	553
1624	553
1631	553
1638	553
1645	553
1652	553
1659	553
1666	553
1673	553
1680	553
1687	553
1694	553
1701	553
1708	553
1715	553
1722	553
1729	553
1736	553
1743	553
1750	553
1757	553
1764	553
1771	553
1778	553
1785	553
1792	553
1799	553
1806	553
1813	553
1820	553
1827	553
1834	553
1841	554
1848	558
1855	563
1862	564
1869	567
1876	570
1883	576
1890	578
1897	585
1904	589
1911	593
1918	598
1925	601
1932	607
1939	611
1946	613
1953	618
1960	622
1967	625
1974	625
1981	626
1988	630
1995	633
2002	635
2009	635
2016	638
2023	641
2030	643
2037	645
2044	648
2051	650
2058	650
2065	652
2072	656
2079	658
2086	659
2093	659
2100	659
2107	661
2114	661
2121	666
2128	667
2135	670
2142	671
2149	672
2156	674
2163	674
2170	675
2177	677
2184	680
2191	680
2198	681
2205	684
2212	686
2219	691
2226	696
2233	697
2240	698
2247	701
2254	702
2261	702
2268	703
2275	705
2282	708
2289	708
2296	710
2303	714
2310	717
2317	722
2324	727
2331	730
2338	735
2345	739
2352	743
2359	745
2366	752
2373	758
2380	765
2387	772
2394	775
2401	782
