rank	type	freq
1	KU	307
2	KA	284
3	SI	240
4	A	202
5	I	192
6	RO	187
7	JA	169
8	TA	165
9	NA	158
10	TE	156
11	SA	139
12	DA	138
13	NI	135
14	KI	129
15	RE	125
16	MA	119
17	RA	116
18	TI	111
19	DI	109
20	PA	102
21	MI	96
22	RU	93
23	DU	78
24	RI	77
25	TU	73
26	U	68
27	SE	67
28	VIN	65
29	GRA	64
30	NU	60
31	PI	58
32	NE	58
33	CYP	57
34	SU	55
35	RA₂	52
36	WA	48
37	ZE	47
38	QE	46
39	PA₃	45
40	QA	45
41	ME	43
42	ZA	40
43	VIR+[?]	38
44	JU	36
45	DE	35
46	VS	34
47	ZU	32
48	E	32
49	*301	31
50	O	29
51	OLIV	26
52	OLE	26
53	PU	24
54	CYP+D	23
55	OLE+U	22
56	WI	22
57	*21F	22
58	GRA+PA	22
59	OLE+KI	21
60	*118	21
61	OLE+MI	20
62	JE	17
63	TA₂	17
64	TO	17
65	KE	16
66	MU	15
67	KO	15
68	*22F	15
69	*411	15
70	PU₂	14
71	CYP+E	14
72	*306	13
73	OLE+DI	12
74	HIDE+[?]	11
75	VIR+KA	10
76	*310	9
77	*304+PA	9
78	*401+RU	9
79	AROM	8
80	*305	8
81	*86	8
82	QA2+[?]+PU	8
83	*34	8
84	PO	8
85	*21M	8
86	MI+JA+RU	8
87	OLE+TA	8
88	AU	8
89	double mina	8
90	*23M	7
91	GRA+KU	7
92	*47	7
93	*188	6
94	QA2+[?]+RE	6
95	*131C	6
96	*325	5
97	GRA+QE	5
98	OLE+NE	5
99	CAP	5
100	SI+SE	5
101	*28B	5
102	*314	5
103	*409	5
104	OLE+E	4
105	*321	4
106	*312	4
107	OLE+RI	4
108	QA2+[?]+RE+PU	4
109	GRA+F	4
110	VIR+*313b	4
111	*49	4
112	VIN+RA	4
113	*408	4
114	*22M	4
115	*309B	4
116	*309	4
117	*131B	4
118	*324	3
119	OLE+TU	3
120	KI+MU	3
121	*815	3
122	MI+JA+I	3
123	*OLIV+TU	3
124	GRA+K+L	3
125	*333	3
126	VIR+*307	3
127	*304	3
128	*401+RO	3
129	*805	3
130	QI	3
131	L	3
132	HIDE+B	3
133	*412+E	3
134	*418+L2	3
135	QI+SI	3
136	OLE+A	2
137	*329	2
138	*188+KU	2
139	*164	2
140	SI+ME	2
141	*406VAS+KE	2
142	VIN+WA	2
143	*323	2
144	E+KA	2
145	MI+JA+KA	2
146	*331	2
147	GRA+B	2
148	VIR+*313a	2
149	TI+A	2
150	TWE	2
151	I+*301	2
152	ZO	2
153	*316+KI	2
154	DA+RO	2
155	*417	2
156	MI+*301	2
157	VIN+TE	2
158	GRA+E	2
159	*307	2
160	*328	2
161	CAPm+KU	2
162	*309C	2
163	OLE+QIf	2
164	*363	2
165	JA+RU	1
166	*322	1
167	QA2+[?]+PU+RE	1
168	GRA+L4+L4	1
169	󽇫	1
170	GRA+L2	1
171	*330+DA	1
172	*308	1
173	*410	1
174	*415	1
175	*416	1
176	*341+PI	1
177	PA3+QE	1
178	*516	1
179	E+[ ]	1
180	SA+MU+KU	1
181	*307+*387	1
182	*403	1
183	TELA+KU	1
184	TELA+*312	1
185	*414+A	1
186	KU+[ ]	1
187	DU+[ ]	1
188	*342	1
189	OLE+RA	1
190	]TU+RO	1
191	MI+JA+[ ]	1
192	*330+SA	1
193	GRA+QIf	1
194	JU+*317+QE	1
195	RE+SE	1
196	DA+RE+SE	1
197	*406	1
198	DI+QE	1
199	TE+RO[	1
200	GRA+H	1
201	GRA+BOSm	1
202	*306+MI	1
203	*345	1
204	*327	1
205	OLE+QE+DI	1
206	VIR+*313c	1
207	VIN+SA	1
208	GRA+DA	1
209	None	1
210	RA+KA	1
211	𐄉	1
212	*904	1
213	VINb+WI	1
214	CYP+K	1
215	SI+TA2	1
216	*348	1
217	*349	1
218	*350	1
219	DA+*301	1
220	RO+RO[	1
221	*560	1
222	WI+ZE[	1
223	GAL	1
224	*352	1
225	*810	1
226	SU+MI	1
227	*903	1
228	HIDE+L	1
229	HIDE+SA+L	1
230	HIDE+SA+B	1
231	*413+SU	1
232	*402+A	1
233	TI+*412VAS	1
234	*404	1
235	*414+F	1
236	*405	1
237	*906	1
238	]MI+JA	1
239	*416+L2	1
240	*317	1
241	*353	1
242	*412	1
243	*355	1
244	*354	1
245	*339	1
246	*358	1
247	*802	1
248	𐄌	1
249	*806	1
250	NWA	1
251	OLE+KI+U	1
252	OLE+KI+ME	1
253	*361	1
254	*82	1
255	VIN+KA	1
256	*362	1
257	QE+GRA+PA	1
258	PA3	1
259	VAS	1
