rank	type	freq
1	KU	170
2	KA	169
3	SI	118
4	RO	95
5	NI	76
6	GRA	62
7	TE	58
8	VIN	53
9	CYP	52
10	ZE	47
11	I	39
12	KU-RO	37
13	VIR+[?]	31
14	TA	29
15	A	25
16	OLIV	24
17	OLE+U	22
18	OLE	22
19	OLE+KI	21
20	SA-RA₂	20
21	OLE+MI	19
22	GRA+PA	19
23	KI	19
24	CYP+D	19
25	O	17
26	KI-RO	16
27	DI	16
28	PA	16
29	RE	16
30	*411-VS	15
31	*22F	14
32	CYP+E	13
33	NA	13
34	OLE+DI	12
35	TI	12
36	MA	11
37	JA	11
38	TU	11
39	A-TA-I-*301-WA-JA	11
40	E	10
41	A-DU	10
42	DA	9
43	RA	9
44	*401+RU	9
45	HIDE+[?]	9
46	KU-PA₃-NU	8
47	RU	8
48	QA2+[?]+PU	8
49	*21M	8
50	MI+JA+RU	8
51	QE	8
52	OLE+TA	8
53	SU	8
54	double mina	8
55	NE	8
56	VIR+KA	8
57	I-RA₂	8
58	DA-RE	7
59	*23M	7
60	SE	7
61	GRA+KU	7
62	JA-SA-SA-RA-ME	7
63	SI-RU-TE	7
64	MA-DI	6
65	KA-PA	6
66	DI-NA-U	6
67	WA	6
68	QA2+[?]+RE	6
69	JU	6
70	SA-RU	6
71	MI	6
72	SI-KA	6
73	I-PI-NA-MA	6
74	*131C	6
75	PA₃	5
76	KU-NI-SU	5
77	OLE+NE	5
78	SA	5
79	CAP	5
80	ZU	5
81	DA-KA	5
82	*409-VS	5
83	I-DA	5
84	OLE+E	4
85	KI-RE-TA-NA	4
86	SA-MA	4
87	TA-NA-TI	4
88	JE-DI	4
89	QA-*310-I	4
90	PA-JA-RE	4
91	SA-RO	4
92	*306-TU	4
93	DA-RI-DA	4
94	DA-SI-*118	4
95	GRA+QE	4
96	OLE+RI	4
97	QA2+[?]+RE+PU	4
98	PU	4
99	DU	4
100	U	4
101	PI	4
102	A-SE	4
103	DA-ME	4
104	MI-NU-TE	4
105	VIR+*313b	4
106	KU-PA	4
107	*21F	4
108	U-NA-KA-NA-SI	4
109	JA-SA	4
110	VIN+RA	4
111	ZA	4
112	*86-RO	4
113	*408-VS	4
114	*131B	4
115	QE-RA₂-U	3
116	A-KA-RU	3
117	DA-QE-RA	3
118	PA₃-NI-NA	3
119	TE-TU	3
120	*21F-TU-NE	3
121	PA-DE	3
122	*324-DI-RA	3
123	TA-I-AROM	3
124	U-*325-ZA	3
125	TA₂	3
126	RE-ZA	3
127	U-*34-SI	3
128	KA-KU-PA	3
129	OLE+TU	3
130	MU	3
131	MA-RU-ME	3
132	KI+MU	3
133	MI+JA+I	3
134	AU	3
135	SI+SE	3
136	*OLIV+TU	3
137	NU	3
138	GRA+K+L	3
139	DI-DE-RU	3
140	A-RA	3
141	TE-RI	3
142	I-GRA+PA	3
143	QA-QA-RU	3
144	PA-SE-JA	3
145	PA-TA-NE	3
146	*304+PA	3
147	*188-DU	3
148	RA₂	3
149	GRA+F	3
150	A-RI	3
151	*304+PA-CYP+D	3
152	ME	3
153	JE	3
154	*401+RO	3
155	*21F-*118	3
156	L	3
157	A-MA	3
158	A-JA	3
159	*412+E	3
160	*418+L2	3
161	*22M	3
162	*28B-NU-MA-RE	3
163	SI-PI-KI	3
164	QI+SI	3
165	DU-RE-ZA-SE	3
166	OLE+A	2
167	DI-NA	2
168	MU-RU	2
169	WA-DU-NI-MI	2
170	TE-*301	2
171	QE-PU	2
172	A-RU	2
173	ME-ZA	2
174	VIR+[?]-I	2
175	DA-I	2
176	TE-KI	2
177	KU-ZU-NI	2
178	PU-VIN	2
179	*188+KU	2
180	SI-DA-RE	2
181	PA-SE	2
182	KA-NA	2
183	A-RI-NI-TA	2
184	I-TI	2
185	*406VAS+KE	2
186	TA-TI	2
187	VIN+WA	2
188	A-SI-JA-KA	2
189	JA-*21F	2
190	U-MI-NA-SI	2
191	PU-RA₂	2
192	RU-MA-TA	2
193	E+KA	2
194	MI+JA+KA	2
195	TI-TI-KU	2
196	KA-KI	2
197	KU-RE-JU	2
198	KU-RE	2
199	I-QA-*118	2
200	KU-PA₃-NA-TU	2
201	KI-DA-RO	2
202	ZU-DU	2
203	KU-MI-NA-QE	2
204	SI-RU	2
205	SA-RA	2
206	KA-RU	2
207	RI-SU-MA	2
208	NU-TI	2
209	PA₃-NI	2
210	KI-RE-TA₂	2
211	QE-KA	2
212	GRA+B	2
213	MA-KA-RI-TE	2
214	DI-KI-SE	2
215	VIR+*313a	2
216	I-KA	2
217	DI-RI-NA	2
218	TI+A	2
219	A-PA-RA-NE	2
220	PA-I-TO	2
221	DE	2
222	WI	2
223	DA-KU-SE-NE	2
224	KI-RA	2
225	KI-RI-TA₂	2
226	SA-VIN	2
227	PA-RA-NE	2
228	QA-NU-MA	2
229	MI-TU	2
230	PO-TO-KU-RO	2
231	PI-SA	2
232	U-*49	2
233	TWE	2
234	PA-RA	2
235	SI-CYP	2
236	RU-DI	2
237	SI-TU	2
238	I+*301	2
239	TA-NI-KA	2
240	WA-DI-NI	2
241	ZU-DI-RA	2
242	NU-RO	2
243	PU₂	2
244	VIR+*307	2
245	I-SI	2
246	ZO	2
247	*316+KI	2
248	DA+RO	2
249	*417-VS	2
250	*805-MI	2
251	MI+*301	2
252	QI	2
253	A-PA	2
254	I-JA	2
255	JA-SI	2
256	SA-SA-RA-ME	2
257	GRA+E	2
258	QE-DE-MI-NU	2
259	RE-TI	2
260	HIDE+B	2
261	A-MI	2
262	CAPm+KU	2
263	AU-SI-RE	2
264	MA-KA-I-TA	2
265	I-PI-NA-MI-NA	2
266	A-NE	2
267	RE-JA	2
268	JA-JA	2
269	OLE+QIf	2
270	QE-SI-ZU-E	2
271	KA-DI	2
272	SA-MI-DA-E	2
273	I-SE	2
274	DA-I-PI-TA	2
275	KU-RA	2
276	SI-TE	2
277	A-TI-KA-A-DU-KO-MI	2
278	QA	2
279	I-DA-MA-TE	2
280	*306-TA-JE	2
281	ZU-SU	1
282	DI-DI-ZA-KE	1
283	A-RA-NA-RE	1
284	QE-RA₂-JA	1
285	SI-TU-RA₂-RE	1
286	*306-TI-KA-A-RE	1
287	DU-RI-TE	1
288	PA-RE	1
289	TA-PI-SI-DI	1
290	MA-SI	1
291	WI-DU	1
292	DA-TA-RA	1
293	PI-TA-JA	1
294	JA+RU	1
295	MA-*321	1
296	O-RA₂-DI-NE	1
