N	V
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	9
11	10
12	11
13	12
14	13
15	14
16	15
17	16
18	17
19	18
20	19
21	20
22	20
23	20
24	20
25	21
26	21
27	21
28	21
29	21
30	22
31	22
32	23
33	24
34	25
35	26
36	27
37	28
38	28
39	29
40	30
41	31
42	31
43	31
44	32
45	33
46	33
47	33
48	34
49	35
50	36
51	36
52	37
53	37
54	38
55	38
56	38
57	39
58	39
59	40
60	40
61	40
62	41
63	41
64	41
65	41
66	41
67	42
68	43
69	44
70	45
71	46
72	47
73	47
74	48
75	49
76	50
77	51
78	52
79	53
80	54
81	55
82	56
83	57
84	58
85	59
86	60
87	61
88	61
89	62
90	62
91	63
92	63
93	64
94	65
95	65
96	66
97	67
98	68
99	69
100	70
101	71
102	72
103	73
104	74
105	74
106	75
107	76
108	77
109	78
110	79
111	80
112	80
113	80
114	81
115	81
116	81
117	81
118	81
119	81
120	82
121	83
122	84
123	85
124	86
125	87
126	88
127	89
128	89
129	89
130	90
131	90
132	90
133	91
134	92
135	92
136	93
137	94
138	95
139	96
140	97
141	98
142	99
143	100
144	101
145	102
146	103
147	104
148	105
149	106
150	107
151	108
152	109
153	109
154	109
155	110
156	110
157	111
158	112
159	112
160	112
161	112
162	113
163	113
164	114
165	114
166	115
167	116
168	117
169	118
170	119
171	120
172	121
173	122
174	123
175	124
176	125
177	126
178	127
179	128
180	129
181	130
182	131
183	132
184	133
185	134
186	135
187	136
188	137
189	138
190	139
191	140
192	141
193	142
194	143
195	144
196	144
197	145
198	146
199	146
200	147
231	170
264	196
297	224
330	255
363	282
396	312
429	336
462	363
495	389
528	416
561	445
594	466
627	485
660	506
693	518
726	541
759	562
792	581
825	609
858	628
891	642
924	651
957	660
990	682
1023	694
1056	710
1089	721
1122	748
1155	773
1188	778
1221	788
1254	791
1287	801
1320	824
1353	846
1386	859
1419	879
1452	900
1485	917
1518	931
1551	947
1584	964
1617	980
1650	1000
1683	1021
1716	1030
1749	1054
1782	1081
1815	1108
1848	1127
1881	1153
1914	1165
1947	1188
1980	1208
2013	1227
2046	1243
2079	1255
2112	1279
2145	1303
2178	1316
2211	1331
2244	1350
2277	1367
2310	1383
2343	1405
2376	1422
2409	1438
2442	1456
2475	1470
2508	1483
2541	1499
2574	1512
2607	1526
2640	1533
2673	1539
2706	1547
2739	1557
2772	1566
2805	1574
2838	1580
2871	1588
2904	1598
2937	1610
2970	1620
3003	1628
3036	1639
3069	1651
3102	1663
3135	1672
3168	1684
3201	1692
3234	1704
3267	1715
3300	1732
3333	1742
3366	1754
3399	1771
3432	1790
3465	1811
3498	1824
3531	1840
3564	1851
3597	1859
3630	1872
3663	1884
3696	1898
3729	1912
3762	1931
3795	1938
3828	1944
3861	1947
3894	1954
3927	1960
3960	1967
3993	1974
4026	1989
4059	2009
4092	2025
4125	2034
4158	2050
4191	2058
4224	2063
4257	2070
4290	2077
4323	2088
4356	2108
4389	2120
4422	2129
4455	2139
4488	2154
4521	2164
4554	2171
4587	2182
4620	2190
4653	2200
4686	2201
4719	2208
4752	2213
4785	2217
4818	2226
4851	2240
4884	2256
4917	2272
4950	2287
4983	2302
5016	2312
5049	2327
5082	2342
5115	2356
5148	2371
5181	2378
5214	2389
5247	2403
5280	2416
5313	2426
5346	2436
5379	2446
5412	2460
5445	2472
5478	2487
5511	2497
5544	2505
5577	2514
5610	2527
5643	2535
5676	2544
5709	2554
5742	2565
5775	2572
5808	2575
5841	2576
5874	2579
5907	2589
5940	2598
5973	2604
6006	2614
6039	2633
6072	2644
6105	2662
6138	2684
6171	2704
6204	2722
6237	2743
6270	2768
6303	2781
6336	2790
6369	2805
6402	2818
6435	2837
6468	2848
6501	2863
6534	2881
6567	2902
6600	2917
6633	2932
6666	2945
6699	2963
6732	2982
6765	3000
6798	3017
6831	3029
6864	3042
6897	3058
6930	3075
6963	3084
6996	3094
7029	3107
7062	3121
7095	3130
7128	3144
7161	3158
7194	3172
7227	3186
7260	3194
7293	3204
7326	3214
7359	3220
7392	3226
7425	3228
7458	3246
7491	3260
7524	3266
7557	3272
7590	3282
7623	3288
7656	3292
7689	3299
7722	3304
7755	3306
7788	3318
7821	3324
7854	3330
7887	3340
7920	3343
7953	3347
7986	3354
8019	3357
8052	3359
8085	3363
8118	3366
8151	3368
8184	3371
8217	3372
8250	3374
8283	3377
8316	3381
8349	3387
8382	3393
8415	3396
8448	3399
8481	3402
8514	3410
8547	3413
8580	3416
