rank	type	freq
1	PA-RO	272
2	KO-WO	226
3	PE-MO	196
4	O-NA-TO	192
5	KO-WA	170
6	TO-SO-DE	168
7	E-KE	159
8	KO-TO-NA	158
9	TO-SO	119
10	E-KE-QE	111
11	KE-KE-ME-NA	107
12	TE-O-JO	104
13	DO-E-RO	101
14	DA-MO	87
15	KU-TA-TO	70
16	DO-SO-MO	67
17	DO-E-RA	66
18	PU-RO	63
19	PA-I-TO	53
20	KA-KE-WE	53
21	O-PE-RO	49
22	DA-WO	46
23	E-KO-SO	45
24	DA-*22-TO	43
25	O-DA-A2	43
26	KO-RE-TE	42
27	QA-RA	39
28	E-RA	38
29	RU-KI-TO	38
30	A-PU-DO-SI	38
31	O-PI	38
32	ME-ZO-E	38
33	TO-SA	37
34	WE-DA-NE-WO	35
35	TI-RI-TO	33
36	PA-WE-A	33
37	RA-TO	32
38	DO-TI-JA	31
39	SU-RI-MO	30
40	*56-KO-WE	30
41	I-QI-JA	30
42	ME-NO	29
43	O-PA	28
44	RI-JO-NO	28
45	TU-NI-JA	27
46	TA-RA-SI-JA	27
47	WO-WO	27
48	MA-RO-PI	26
49	PO-NI-KI-JO	25
50	RA-SU-TO	25
51	WE-WE-SI-JO	25
52	U-TA-JO-JO	25
53	TO-SA-DE	25
54	A-KE-O-JO	25
55	KE-RO-SI-JA	25
56	KI-TI-ME-NA	25
57	U-TA-JO	24
58	DA-MI-NI-JO	23
59	TU-NA-NO	23
60	SE-TO-I-JA	22
61	ME-WI-JO-E	22
62	E-KO-TE	22
63	A-KO-DA-MO	22
64	I-JE-RE-JA	21
65	KI-RI-JO-TE	21
66	E-KO-SI	20
67	A-TA-RA-SI-JO	20
68	U-TA-NO	19
69	A-KA	19
70	O-NO	19
71	WE-WE-SI-JO-JO	19
72	PO-RO-KO-RE-TE	19
73	A-JA-ME-NO	19
74	KO-TO-NO-O-KO	19
75	KA-KO	19
76	KU-PI-RI-JO	18
77	RA-JA	18
78	KA-NA-KO	18
79	KO-NO	17
80	PO-SE-DA-O-NE	17
81	RI-JO	17
82	PO-TI-NI-JA	17
83	E-QE-TA	17
84	TA-RA-NU	17
85	PI-*82	17
86	A-TA-O	17
87	WO-KA	17
88	WE-JE-KE-E	17
89	KA-MA	16
90	E-RE-PA-TE-JO	16
91	PA-RA-JO	16
92	O-U-DI-DO-SI	16
93	A-ME-RO	16
94	*63-TE-RA-DE	16
95	PA-SI-TE-O-I	15
96	O-KA	15
97	A-NU-TO	15
