hash,basename,experiment_dir,canonical,n_locations,ext
bc63642b1919f839,pulse.sh,sufficiency,logos:experiments/sufficiency/pulse.sh,12,sh
58bf2f7a2e8eff07,INSTRUMENTATION_AUDIT.md,sufficiency,logos:experiments/sufficiency/INSTRUMENTATION_AUDIT.md,12,md
b43a378f5c017c09,fence_check.py,sufficiency,logos:experiments/sufficiency/fence_check.py,12,py
52880a48c7093b93,ACCELERATION_OPTIONS.md,sufficiency,logos:experiments/sufficiency/ACCELERATION_OPTIONS.md,12,md
897fd826e50c8a9e,STEP0_SWEEP_AUDIT.md,sufficiency,logos:experiments/sufficiency/STEP0_SWEEP_AUDIT.md,12,md
8b62e6884f310b93,gpu01_gpu_benchmark.py,sufficiency,logos:experiments/sufficiency/gpu01_gpu_benchmark.py,12,py
f94bdadea4ce027c,status_table.sh,sufficiency,logos:experiments/sufficiency/status_table.sh,12,sh
9b3e6d2e77738ed1,ACCELERATION_HALT_VERIFICATION.md,sufficiency,logos:experiments/sufficiency/ACCELERATION_HALT_VERIFICATION.md,12,md
b6d277424b8531c5,EXIT_B_NUMBER_PROVENANCE.md,sufficiency,logos:experiments/sufficiency/EXIT_B_NUMBER_PROVENANCE.md,12,md
97425067c2b29a14,smt_remedy.sh,sufficiency,logos:experiments/sufficiency/smt_remedy.sh,12,sh
9ca444ddb4b375df,PREREG_robustness.md,sufficiency,logos:experiments/sufficiency/PREREG_robustness.md,12,md
23613cf4ed1b5720,sweep_observe_snapshot_first.json,sufficiency,logos:experiments/sufficiency/sweep_observe_snapshot_first.json,12,json
0c27b7692b81eaca,PROGRESS.md,sufficiency,logos:experiments/sufficiency/PROGRESS.md,12,md
de80b531343a31a6,STEP_A_RULING.md,sufficiency,logos:experiments/sufficiency/STEP_A_RULING.md,12,md
7f7483445e7fdc0e,EXIT_B_SUBMISSION_VERIFICATION.md,sufficiency,logos:experiments/sufficiency/EXIT_B_SUBMISSION_VERIFICATION.md,12,md
614aa587bce1c88d,ACCELERATION_PREFLIGHT.md,sufficiency,logos:experiments/sufficiency/ACCELERATION_PREFLIGHT.md,12,md
86910fd91944657c,EXIT_B_INTEGRITY_RULING.md,sufficiency,logos:experiments/sufficiency/EXIT_B_INTEGRITY_RULING.md,12,md
