source_file,doc_id,locus,context_word,logogram,integer,fraction_seq,uncertain,restored,damaged,anomaly,is_kuro
misctexts,ARKH 2,.1-2,KU-RA,VINb,5,,0,0,0,0,0
misctexts,ARKH 2,.2-3,A-SI-DA-TO-I,,12,,0,0,0,0,0
misctexts,ARKH 2,.3-4,ZU-*301-SE-DE-QIf-*118,,6,,0,0,0,0,0
misctexts,ARKH 2,.5-6,A-SU-PU-WA,,4,,0,0,0,0,0
misctexts,ARKH 3,a.2,,,,D,0,1,0,0,0
misctexts,ARKH 3,a.2,OLIV,,3,D,0,0,0,0,0
misctexts,ARKH 3,a.2,VINb,,2,,0,1,0,0,0
misctexts,ARKH 3,a.3,,,2,,0,1,0,0,0
misctexts,ARKH 3,a.3,*317,,2,,0,1,0,0,0
misctexts,ARKH 3,a.4,KI-NU,GRA,13,,0,1,0,0,0
misctexts,ARKH 3,a.5,TE,,2,,0,1,0,0,0
misctexts,ARKH 3,a.5,*317,,2,,0,0,0,0,0
misctexts,ARKH 3,a.5,*312,,2,,0,1,0,0,0
misctexts,ARKH 3,a.6,KU,,3,,0,1,0,0,0
misctexts,ARKH 3,b.1,-JA-PI,GRA,6,,0,1,1,0,0
misctexts,ARKH 3,b.2,PI-PU3,GRA,1,,0,1,0,0,0
misctexts,ARKH 3,b.4,,,2,,0,1,0,0,0
misctexts,ARKH 3,b.4,OLE,,4,,0,0,0,0,0
misctexts,ARKH 3,b.5,VINa,,1,,0,1,0,0,0
misctexts,ARKH 4,a.2,TA,RE,5,,0,1,0,0,0
misctexts,ARKH 4,a.2-3,A-•-•-JU,,4,,0,1,0,0,0
misctexts,ARKH 4,a.3-4,DE-SU-•-*47-TE,,5,,0,1,0,0,0
misctexts,ARKH 4,b.2,-RE,,10,,0,1,1,0,0
misctexts,ARKH 4,b.3,DE-MI,,10,,0,1,0,0,0
misctexts,ARKH 4,b.3,I-*47,,9,,0,1,0,0,0
misctexts,ARKH 4,b.4,A-KI-RO,,3,,0,0,0,0,0
misctexts,ARKH 4,b.5,ZA-SI-ZU,,3,,0,1,0,0,0
misctexts,ARKH 5,.1,A-DU-NI-TA-NA,,41,,0,1,0,0,0
misctexts,ARKH 5,.2,,,7,,0,1,0,0,0
misctexts,ARKH 5,.2,A-DA-RO,GRA,40,,0,1,0,0,0
misctexts,ARKH 5,.3,VINb,,6,,0,0,0,0,0
misctexts,ARKH 7,.3,*308,,,D,0,0,0,0,0
misctexts,ARKH Zb 10,a.5,NE,,2,J,0,1,0,0,0
misctexts,ARKH Zb 10,b.1,PA-RE,,3,,0,1,0,0,0
misctexts,ARKH Zb 10,b.4,NA,,8,,0,1,0,0,0
HTtexts,HT 1.4,a.2,TA-NA-TI,,1,,0,1,0,0,0
HTtexts,HT 1.4,a.3,-RI,,1,,0,1,1,0,0
HTtexts,HT 1.4,a.4,vesst.,,1,,0,1,0,0,0
HTtexts,HT 1.4,a.4,TI-DU-NI,,1,,0,1,0,0,0
HTtexts,HT 1.4,a.5,SI-RA,,1,,0,1,0,0,0
HTtexts,HT 1.4,a.6,A-RU,,1,,0,0,0,0,0
HTtexts,HT 1.4,a.6,,,1,,0,1,0,0,0
