source_file,doc_id,site,support,locus,seq,context_word,logogram,integer,fraction_seq,uncertain,restored,damaged,is_kuro,parser,adjudicated_agree
misctexts,ZA 10,Zakros,tablet,b.7,440,DU,,1,,0,1,0,0,A,1
misctexts,KH 32,Khania,tablet,.2,149,,,5,,0,1,0,0,A,1
misctexts,KH 8,Khania,tablet,.2,73,FIC,,,J,0,1,0,0,A,1
HTtexts,HT 51,Haghia Triada,tablet,a.2,351,SE,,64,,0,1,0,0,A,1
HTtexts,HT 3,Haghia Triada,tablet,.4,13,,,4,,0,1,0,0,A,1
misctexts,KH 75,Khania,tablet,.1,186,,,,J,0,1,0,0,A,1
HTtexts,HT 12,Haghia Triada,tablet,.4,106,,,30,E,0,0,0,0,A,1
HTtexts,HT 93,Haghia Triada,tablet,b.1,484,,,165,H,0,1,0,0,A,1
HTtexts,HT 8,Haghia Triada,tablet,b.3,52,,,5,,0,0,0,0,A,1
HTtexts,HT 25,Haghia Triada,tablet,a.1,169,,,1,,0,1,0,0,A,1
HTtexts,HT 131,Haghia Triada,tablet,a.1,800,FIC,,62,,0,1,0,0,A,1
misctexts,ZA 1,Zakros,tablet,a.2,374,ZA,,5,,0,0,0,0,A,1
HTtexts,HT 129,Haghia Triada,tablet,.2,793,FIC,,22,,0,0,0,0,A,1
misctexts,ARKH 3,Arkhanes,tablet,a.2,9,,,,D,0,1,0,0,A,1
misctexts,ARKH 3,Arkhanes,tablet,a.2,10,OLIV,,3,D,0,0,0,0,A,1
HTtexts,HT 68,Haghia Triada,tablet,.2,402,,,4,,0,1,0,0,A,1
misctexts,KH 7,Khania,tablet,b.3,68,SI,,14,,0,0,0,0,A,1
misctexts,KH 18,Khania,tablet,.3,125,KU,,22,,0,0,0,0,A,1
misctexts,KH 61,Khania,tablet,.1,175,,,20,,0,1,0,0,A,1
HTtexts,HT 110,Haghia Triada,tablet,b.5,633,,,1,,0,1,0,0,A,1
HTtexts,HT 110,Haghia Triada,tablet,b.5,634,MA,,2,,0,0,0,0,A,1
HTtexts,HT 46,Haghia Triada,tablet,b.2,324,,,16,J,0,1,0,0,A,1
misctexts,KH 30,Khania,tablet,.2,145,FIC,,9,,0,1,0,0,A,1
HTtexts,HT 25,Haghia Triada,tablet,a.5,176,PA,,1,,0,0,0,0,A,1
HTtexts,HT 38,Haghia Triada,tablet,.2,292,SUS,,1,,0,0,0,0,A,1
HTtexts,HT 38,Haghia Triada,tablet,.2,293,OVIS,,3,,0,0,0,0,A,1
misctexts,KH 25,Khania,tablet,.1,138,VIR,,140,,0,1,0,0,A,1
misctexts,ARKH 1,Arkhanes,tablet,b.4,4,NA,,8,,0,1,0,0,A,1
HTtexts,HT 136,Haghia Triada,tablet,a.3,815,,,23,,0,1,0,0,A,1
misctexts,KH 73,Khania,tablet,.2,182,,,1,,0,1,0,0,A,1
misctexts,KH 73,Khania,tablet,.2,183,FIC,,1,,0,0,0,0,A,1
HTtexts,HT 34,Haghia Triada,tablet,.7,277,PU,,,F,0,0,0,0,A,1
HTtexts,HT 101,Haghia Triada,tablet,.6,584,,,3,,0,1,0,0,A,1
HTtexts,HT 101,Haghia Triada,tablet,.6,585,OLIV,,1,E,0,0,0,0,A,1
misctexts,KH 17,Khania,tablet,.4,122,FIC,,1,,0,1,0,0,A,1
misctexts,KH 9,Khania,tablet,.6,85,,,,X,0,1,0,0,A,1
misctexts,KH 16,Khania,tablet,.1,118,,,22,,0,1,0,0,A,1
HTtexts,HT 44,Haghia Triada,tablet,a.4,311,FIC,,1,,0,1,0,0,A,1
misctexts,KH 24,Khania,tablet,.1,137,SU,,12,,0,1,0,0,A,1
HTtexts,HT 116,Haghia Triada,tablet,b.2,668,OLE,,17,,0,0,0,0,A,1
misctexts,KH 20,Khania,tablet,.4,132,FIC,,,E,0,0,0,0,A,1
HTtexts,HT 111,Haghia Triada,tablet,b.3,642,FIC,,1,,0,1,0,0,A,1
HTtexts,HT 28,Haghia Triada,tablet,a.3,207,FIC,,2,,0,0,0,0,A,1
misctexts,PH 3,Phaistos,tablet,b.2,273,SI,,,E,0,1,0,0,A,1
misctexts,KH 6,Khania,tablet,.8,54,,,8,,0,1,0,0,A,1
HTtexts,HT 97,Haghia Triada,tablet,a.4,537,DI,,4,,0,0,0,0,A,1
misctexts,KH 8,Khania,tablet,.4,77,FIC,,,E,0,1,0,0,A,1
HTtexts,HT 119,Haghia Triada,tablet,.1,690,VIR,,68,,0,0,0,0,A,1
misctexts,KH 95,Khania,tablet,.1,213,SE,,7,,0,0,0,0,A,1
HTtexts,HT 154C,Haghia Triada,tablet,.2,855,,,2,J,0,1,0,0,A,1
misctexts,KH 12,Khania,tablet,.3,105,,,,K,0,1,0,0,A,1
HTtexts,HT 127,Haghia Triada,tablet,b.4-5,778,KU,,72,,0,0,0,0,A,1
HTtexts,HT 29,Haghia Triada,tablet,.2,224,,,1,,0,1,0,0,A,1
misctexts,ARKH 3,Arkhanes,tablet,b.4,21,,,2,,0,1,0,0,A,1
misctexts,ARKH 3,Arkhanes,tablet,b.4,22,OLE,,4,,0,0,0,0,A,1
