source_file,doc_id,site,support,locus,seq,context_word,logogram,integer,fraction_seq,uncertain,restored,damaged,is_kuro,parser
HTtexts,HT 49a.6-7;,Haghia Triada,tablet,.1-2,0,KI-RO,,197,,0,0,0,0,B
HTtexts,HT 49a.6-7;,Haghia Triada,tablet,.2,1,ZU-SU,,70,,0,0,0,0,B
HTtexts,HT 49a.6-7;,Haghia Triada,tablet,.2-3,2,DI-DI-ZA-KE,,52,,0,0,0,0,B
HTtexts,HT 49a.6-7;,Haghia Triada,tablet,.3-4,3,KU-PA3-NU,,109,,0,0,0,0,B
HTtexts,HT 49a.6-7;,Haghia Triada,tablet,.4,4,A-RA-NA-RE,,105,,0,0,0,0,B
HTtexts,HT 95a.4-5,Haghia Triada,tablet,.1,5,A-KA-RU,OLE+U *610,20,,0,1,0,0,B
HTtexts,HT 95a.4-5,Haghia Triada,tablet,.2,6,*609,,17,,0,1,0,0,B
HTtexts,HT 95a.4-5,Haghia Triada,tablet,.2,7,*613,,3,,0,1,0,0,B
HTtexts,HT 95a.4-5,Haghia Triada,tablet,.3,8,KI-RE-TA-NA,OLE+U *610,54,,0,1,0,0,B
HTtexts,HT 95a.4-5,Haghia Triada,tablet,.4,9,*609,,47,,0,1,0,0,B
HTtexts,HT 95a.4-5,Haghia Triada,tablet,.6,10,,,1,,0,0,0,0,B
HTtexts,HT 3,Haghia Triada,tablet,.1,11,MA-DI,,2,,0,1,0,0,B
HTtexts,HT 3,Haghia Triada,tablet,.3,12,,,2,,0,1,0,0,B
HTtexts,HT 3,Haghia Triada,tablet,.3,13,DI,,2,,0,1,0,0,B
HTtexts,HT 3,Haghia Triada,tablet,.4,14,,,4,,0,1,0,0,B
HTtexts,HT 3,Haghia Triada,tablet,.4,15,MU-RU,,1,,0,0,0,0,B
HTtexts,HT 3,Haghia Triada,tablet,.5,16,SI-TU-RA2-RE,,5,,0,1,0,0,B
HTtexts,HT 3,Haghia Triada,tablet,.6,17,KU-PA3-NU,,3,,0,1,0,0,B
HTtexts,HT 3,Haghia Triada,tablet,.7,18,MA-DI,,2,,0,1,0,0,B
HTtexts,HT 4,Haghia Triada,tablet,.2,19,-DU-RI-TE,,2,,0,1,0,0,B
HTtexts,HT 4,Haghia Triada,tablet,.4,20,TA-PI-SI-DI,,2,,0,1,0,0,B
HTtexts,HT 5,Haghia Triada,tablet,.2,21,MA-SI,,30,,0,1,0,0,B
HTtexts,HT 5,Haghia Triada,tablet,.3,22,-WI-DU,,10,,0,1,0,0,B
HTtexts,HT 6,Haghia Triada,tablet,a.1-2,23,DA-TA-RA,TE FIC,15,,0,0,0,0,B
HTtexts,HT 6,Haghia Triada,tablet,a.2-3,24,PI-TA-JA,,24,,0,0,0,0,B
HTtexts,HT 6,Haghia Triada,tablet,a.3,25,*538,,,DD,0,0,0,0,B
HTtexts,HT 6,Haghia Triada,tablet,a.3-4,26,MA-*321,,10,,0,0,0,0,B
HTtexts,HT 6,Haghia Triada,tablet,a.4,27,O-RA2-DI-NE,,2,,0,0,0,0,B
HTtexts,HT 6,Haghia Triada,tablet,a.4-5,28,KA-PA-QE,,5,JE,0,0,0,0,B
HTtexts,HT 6,Haghia Triada,tablet,a.6-7,29,QE-PI-TA,,22,JE,0,0,0,0,B
HTtexts,HT 6,Haghia Triada,tablet,a.7,30,FIC,,15,J,0,0,0,0,B
HTtexts,HT 6,Haghia Triada,tablet,b.1-2,31,WA-DU-NI-MI,,3,H,0,0,0,0,B
HTtexts,HT 6,Haghia Triada,tablet,b.2,32,RA-TI-SE,,1,,0,0,0,0,B
HTtexts,HT 6,Haghia Triada,tablet,b.2-3,33,MA-RI--I,,3,,0,1,0,0,B
HTtexts,HT 6,Haghia Triada,tablet,b.4,34,DU-DA-MA,,66,,0,0,0,0,B
HTtexts,HT 6,Haghia Triada,tablet,b.5,35,DA-KI,,3,E,0,0,0,0,B
HTtexts,HT 6,Haghia Triada,tablet,b.5-6,36,SA-MA,,35,,0,0,0,0,B
HTtexts,HT 6,Haghia Triada,tablet,b.6,37,PA3-NI-NA,,17,J,0,0,0,0,B
HTtexts,HT 10a.1,Haghia Triada,za,a.2,38,I-RU-JA,,3,,0,0,0,0,B
HTtexts,HT 10a.1,Haghia Triada,za,a.3,39,DU-JA,,4,,0,0,0,0,B
HTtexts,HT 10a.1,Haghia Triada,za,a.4,40,TA-NA-TI,,1,,0,0,0,0,B
HTtexts,HT 10a.1,Haghia Triada,za,a.4-5,41,DA-RE,,1,,0,0,0,0,B
HTtexts,HT 10a.1,Haghia Triada,za,a.5,42,TE-TU,,1,,0,0,0,0,B
HTtexts,HT 10a.1,Haghia Triada,za,b.1,43,QIf-TU-NE,,1,,0,0,0,0,B
HTtexts,HT 10a.1,Haghia Triada,za,b.2,44,DA-RU-*329,,2,,0,0,0,0,B
HTtexts,HT 8,Haghia Triada,tablet,a.1,45,JE-DI,OLE+KI *618,10,,0,0,0,0,B
HTtexts,HT 8,Haghia Triada,tablet,a.1-2,46,PA3-KA-RA-TI,,1,J,0,0,0,0,B
HTtexts,HT 8,Haghia Triada,tablet,a.2,47,PA,,3,J,0,0,0,0,B
HTtexts,HT 8,Haghia Triada,tablet,a.3,48,TE-*301,,2,,0,0,0,0,B
HTtexts,HT 8,Haghia Triada,tablet,a.3-4,49,QA-*310-I,,,JE,0,0,0,0,B
